epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0021,1.78775,3.40411,3.07616,0.17125,0.06957,0.63111,0.12205,0.05125,1.58918,3.22518,2.87381,0.19889,0.00010002,0.00010002,0.00010002
2,63.9303,1.66581,2.60798,2.55061,0.18605,0.86057,0.3729,0.43945,0.22713,1.48964,2.07289,2.59441,0.19765,0.000212419,0.000212419,0.000212419
3,94.7502,1.44907,1.72599,2.30032,0.18565,0.62005,0.71148,0.71266,0.3959,1.2598,1.48224,2.55482,0.18589,0.000320197,0.000320197,0.000320197
4,125.723,1.2989,1.50616,2.1949,0.16857,0.84706,0.73023,0.84012,0.48674,1.1685,1.31279,2.44576,0.17641,0.000423355,0.000423355,0.000423355
5,157.203,1.36035,1.31482,2.10968,0.18395,0.87363,0.82048,0.8794,0.5382,1.11326,1.10463,2.11208,0.16132,0.000521891,0.000521891,0.000521891
6,188.187,1.32436,1.14195,1.96465,0.16677,0.90978,0.82192,0.9115,0.58209,1.10519,1.02756,1.95685,0.15427,0.000615806,0.000615806,0.000615806
7,220.192,1.2099,0.99988,1.90696,0.15329,0.8739,0.89935,0.93424,0.62124,1.05454,0.91882,1.9318,0.15006,0.000705101,0.000705101,0.000705101
8,251.174,1.21025,0.967,1.95701,0.16079,0.90437,0.9032,0.94662,0.60825,1.09701,0.91869,1.80885,0.15223,0.000789775,0.000789775,0.000789775
9,283.236,1.17601,0.93856,1.81195,0.16492,0.90037,0.9437,0.95645,0.64581,1.00581,0.83258,1.75338,0.15686,0.000869827,0.000869827,0.000869827
10,314.37,1.19131,0.94477,1.83252,0.15517,0.9513,0.93934,0.96294,0.63198,1.06084,0.79579,1.68789,0.1636,0.000945259,0.000945259,0.000945259
11,345.986,1.14871,0.85019,1.76049,0.14835,0.95065,0.93237,0.9559,0.63124,0.9936,0.7693,1.67364,0.15138,0.00101607,0.00101607,0.00101607
12,377.042,1.15094,0.83879,1.72697,0.18058,0.89778,0.93964,0.93869,0.58914,1.04813,0.80723,1.6088,0.15802,0.00108226,0.00108226,0.00108226
13,408.281,1.1486,0.83228,1.58634,0.16891,0.89948,0.93992,0.93138,0.60039,1.05291,0.78133,1.57319,0.15816,0.00114383,0.00114383,0.00114383
14,439.816,1.09252,0.79556,1.66536,0.14354,0.91758,0.93619,0.94333,0.5995,0.98614,0.78759,1.58661,0.15198,0.00120078,0.00120078,0.00120078
15,471.693,1.07611,0.7338,1.59197,0.16214,0.84382,0.90587,0.9114,0.57708,0.98749,0.85153,1.54384,0.15718,0.00120491,0.00120491,0.00120491
16,504.437,1.06484,0.72504,1.5643,0.14141,0.89057,0.89996,0.89997,0.61788,0.94161,0.78802,1.53005,0.14768,0.0011719,0.0011719,0.0011719
17,538.773,1.05197,0.7204,1.57453,0.13819,0.9163,0.89594,0.90281,0.60109,0.96372,0.80932,1.51228,0.14438,0.00113889,0.00113889,0.00113889
18,571.437,1.06169,0.719,1.59095,0.13903,0.92268,0.94559,0.94413,0.64328,0.9185,0.72101,1.50304,0.14388,0.00110589,0.00110589,0.00110589
19,604.726,1.01809,0.69062,1.58049,0.13847,0.9161,0.95259,0.95347,0.69104,0.87245,0.63969,1.49135,0.13355,0.00107288,0.00107288,0.00107288
20,645.083,1.02309,0.70349,1.58409,0.14589,0.89535,0.9521,0.94793,0.68023,0.88899,0.63859,1.48347,0.12425,0.00103987,0.00103987,0.00103987
21,677.38,0.98958,0.67677,1.47792,0.14848,0.9167,0.95551,0.96655,0.68876,0.88536,0.63435,1.45945,0.12861,0.00100687,0.00100687,0.00100687
22,711.121,1.02829,0.71515,1.53081,0.14475,0.96582,0.94781,0.97612,0.72196,0.85704,0.61762,1.44245,0.13105,0.000973861,0.000973861,0.000973861
23,744.421,1.01023,0.69501,1.56478,0.14016,0.94608,0.91816,0.96694,0.71151,0.85693,0.6503,1.4396,0.12789,0.000940855,0.000940855,0.000940855
24,781.584,0.99353,0.65042,1.51739,0.13508,0.95426,0.96382,0.97522,0.7168,0.85238,0.64699,1.41715,0.12244,0.000907848,0.000907848,0.000907848
25,820.613,0.97812,0.66702,1.53711,0.13041,0.98692,0.95765,0.9837,0.72163,0.83749,0.63659,1.42324,0.1183,0.000874842,0.000874842,0.000874842
26,858.587,0.9693,0.64143,1.49069,0.13515,0.97284,0.94232,0.97809,0.71661,0.82096,0.65552,1.41784,0.11343,0.000841835,0.000841835,0.000841835
27,891.69,0.99788,0.68739,1.51408,0.12177,0.96761,0.94989,0.96936,0.71486,0.81255,0.62413,1.42117,0.1091,0.000808828,0.000808828,0.000808828
28,923.18,0.95439,0.62506,1.55449,0.11559,0.99151,0.96035,0.9874,0.7523,0.79003,0.55826,1.40733,0.10615,0.000775822,0.000775822,0.000775822
29,954.459,0.92387,0.61572,1.49874,0.12089,0.9682,0.97267,0.98991,0.77539,0.79052,0.54781,1.40144,0.10726,0.000742815,0.000742815,0.000742815
30,985.739,0.969,0.61305,1.51942,0.13426,0.9768,0.97827,0.9922,0.78577,0.77196,0.53091,1.40009,0.10489,0.000709809,0.000709809,0.000709809
31,1016.78,0.90717,0.60318,1.50375,0.11672,0.98397,0.98337,0.99318,0.79099,0.75087,0.52127,1.40378,0.10085,0.000676802,0.000676802,0.000676802
32,1048.2,0.90732,0.60586,1.45922,0.11416,0.97797,0.9809,0.98599,0.7904,0.73625,0.51458,1.36346,0.10038,0.000643795,0.000643795,0.000643795
33,1079.49,0.94415,0.60614,1.44276,0.11892,0.98336,0.97882,0.98625,0.78535,0.73991,0.5134,1.35422,0.10134,0.000610789,0.000610789,0.000610789
34,1110.78,0.87849,0.59394,1.43806,0.11733,0.97446,0.98775,0.98605,0.77688,0.75492,0.51605,1.36659,0.10126,0.000577782,0.000577782,0.000577782
35,1142.05,0.97641,0.63231,1.51899,0.1262,0.98679,0.98203,0.98596,0.76773,0.74765,0.51295,1.36397,0.09564,0.000544776,0.000544776,0.000544776
36,1173.57,0.91447,0.61901,1.46054,0.12278,0.99197,0.98337,0.99273,0.78404,0.73013,0.51084,1.36564,0.09284,0.000511769,0.000511769,0.000511769
37,1204.83,0.87844,0.59047,1.45656,0.11261,0.9829,0.98337,0.99167,0.78508,0.72051,0.50814,1.35781,0.0924,0.000478762,0.000478762,0.000478762
38,1236.25,0.88262,0.58272,1.3935,0.10824,0.97643,0.98899,0.98691,0.81108,0.69418,0.4975,1.33651,0.08907,0.000445756,0.000445756,0.000445756
39,1267.62,0.86991,0.5648,1.44889,0.14675,0.97864,0.98337,0.98774,0.81186,0.69786,0.4965,1.3394,0.09239,0.000412749,0.000412749,0.000412749
40,1299.22,0.94636,0.59758,1.51322,0.12175,0.97186,0.99461,0.99197,0.80751,0.69301,0.49612,1.33853,0.09168,0.000379743,0.000379743,0.000379743
41,1330.64,0.74878,0.53838,1.3631,0.09565,0.97302,0.99419,0.99208,0.81584,0.69343,0.49344,1.32577,0.09145,0.000346736,0.000346736,0.000346736
42,1362.55,0.74455,0.5198,1.38845,0.09639,0.98606,0.9937,0.99245,0.80285,0.72591,0.49744,1.3083,0.09309,0.000313729,0.000313729,0.000313729
43,1394.31,0.74748,0.51592,1.29936,0.0919,0.98356,0.99461,0.99249,0.80433,0.71522,0.49899,1.29934,0.09472,0.000280723,0.000280723,0.000280723
44,1426.57,0.73533,0.52631,1.33605,0.09399,0.98488,0.99461,0.99297,0.8139,0.69441,0.48895,1.30812,0.09299,0.000247716,0.000247716,0.000247716
45,1457.99,0.74831,0.5145,1.42538,0.09882,0.98361,0.99396,0.9931,0.81893,0.68843,0.48357,1.31076,0.09141,0.00021471,0.00021471,0.00021471
46,1490.09,0.7069,0.49726,1.37039,0.09067,0.97873,0.98764,0.99319,0.82967,0.67312,0.47676,1.30354,0.09002,0.000181703,0.000181703,0.000181703
47,1524.63,0.72975,0.49786,1.38004,0.10493,0.98638,0.98764,0.99367,0.83387,0.66853,0.47296,1.2946,0.08853,0.000148696,0.000148696,0.000148696
48,1555.7,0.73531,0.50187,1.35988,0.08896,0.99073,0.98764,0.99367,0.83605,0.66537,0.47231,1.29245,0.08812,0.00011569,0.00011569,0.00011569
49,1586.63,0.70296,0.48899,1.33886,0.08736,0.98949,0.98764,0.99374,0.83895,0.66196,0.4717,1.29364,0.08743,8.26832e-05,8.26832e-05,8.26832e-05
50,1617.6,0.73497,0.50346,1.35019,0.09654,0.98972,0.98764,0.99374,0.83862,0.65678,0.47057,1.29591,0.08622,4.96766e-05,4.96766e-05,4.96766e-05
