epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2285,1.92001,3.4226,3.04599,0.16452,0.07193,0.56127,0.10249,0.03429,1.66686,3.29674,2.77176,0.18236,0.00010002,0.00010002,0.00010002
2,62.57,1.6138,2.62216,2.61391,0.16781,0.53205,0.45334,0.48896,0.24468,1.51648,2.17237,2.50288,0.19002,0.000208128,0.000208128,0.000208128
3,96.6607,1.55956,1.79185,2.32101,0.1914,0.60441,0.64895,0.6705,0.3518,1.30765,1.56092,2.45889,0.17234,0.000306995,0.000306995,0.000306995
4,131.761,1.3794,1.56612,2.18937,0.17743,0.70783,0.66656,0.73395,0.41702,1.20717,1.39421,2.38651,0.15991,0.000396619,0.000396619,0.000396619
5,166.126,1.38889,1.33141,2.15817,0.16758,0.77043,0.76096,0.79463,0.49027,1.13177,1.1742,2.14521,0.14604,0.000477002,0.000477002,0.000477002
6,198.611,1.36421,1.18693,2.08531,0.17648,0.80049,0.81454,0.83961,0.5189,1.12446,1.09018,2.01271,0.1528,0.000548143,0.000548143,0.000548143
7,233.157,1.33857,1.13344,1.95893,0.15118,0.809,0.83216,0.86718,0.53366,1.09567,0.97947,1.88583,0.14323,0.000610042,0.000610042,0.000610042
8,268.738,1.2412,1.04133,1.84966,0.16412,0.88988,0.8209,0.89392,0.55869,1.08166,0.9331,1.8425,0.14091,0.000662699,0.000662699,0.000662699
9,302.647,1.23413,1.02897,1.87877,0.16173,0.86531,0.87411,0.91943,0.59677,1.03802,0.87017,1.78506,0.14028,0.000706115,0.000706115,0.000706115
10,336.583,1.21133,0.96454,1.78272,0.15439,0.91167,0.91942,0.93117,0.59049,1.065,0.83047,1.74707,0.13624,0.000740288,0.000740288,0.000740288
11,371.406,1.21748,0.91443,1.73742,0.16156,0.90561,0.90264,0.94003,0.60645,1.02537,0.81569,1.69504,0.13266,0.00076522,0.00076522,0.00076522
12,406.045,1.19835,0.88133,1.71691,0.17435,0.90715,0.84959,0.92405,0.63657,0.96405,0.76423,1.67272,0.1237,0.000780909,0.000780909,0.000780909
13,439.459,1.17766,0.8923,1.78919,0.15836,0.94162,0.86955,0.9518,0.6518,0.96116,0.74327,1.66005,0.1242,0.000787357,0.000787357,0.000787357
14,472.958,1.15373,0.8346,1.65151,0.15831,0.92858,0.88608,0.95979,0.64929,0.97066,0.71374,1.6411,0.13268,0.000784564,0.000784564,0.000784564
15,507.043,1.1137,0.79671,1.63947,0.14696,0.93911,0.87127,0.95326,0.6407,0.97915,0.72002,1.66367,0.12271,0.000742815,0.000742815,0.000742815
16,540.617,1.02536,0.79355,1.70441,0.1343,0.94881,0.90251,0.96729,0.64105,0.93758,0.70604,1.57189,0.11541,0.000676802,0.000676802,0.000676802
17,574.706,1.01056,0.79713,1.63208,0.13306,0.95421,0.90854,0.97065,0.65552,0.92612,0.70406,1.55396,0.11644,0.000610789,0.000610789,0.000610789
18,608.866,0.96634,0.73208,1.56491,0.12368,0.96086,0.90888,0.96675,0.67336,0.9076,0.66903,1.5611,0.11469,0.000544776,0.000544776,0.000544776
19,642.704,0.97961,0.71867,1.6533,0.12455,0.97019,0.93748,0.98093,0.69147,0.8914,0.65471,1.5499,0.11394,0.000478762,0.000478762,0.000478762
20,677.043,1.01481,0.73938,1.59888,0.14029,0.9703,0.94777,0.98134,0.70538,0.88137,0.64421,1.53054,0.11071,0.000412749,0.000412749,0.000412749
21,712.128,0.90311,0.67505,1.52773,0.12039,0.98259,0.94159,0.98198,0.71424,0.87446,0.64532,1.52867,0.10719,0.000346736,0.000346736,0.000346736
22,747.78,0.91985,0.68024,1.52555,0.11743,0.94958,0.94074,0.98263,0.71925,0.84623,0.63607,1.52799,0.10397,0.000280723,0.000280723,0.000280723
23,784.655,0.88585,0.65721,1.52576,0.123,0.95928,0.94915,0.98242,0.73365,0.82833,0.61761,1.52161,0.10375,0.00021471,0.00021471,0.00021471
24,817.871,0.89266,0.64088,1.5631,0.1227,0.9508,0.94705,0.98242,0.73824,0.81257,0.6115,1.5082,0.10355,0.000148696,0.000148696,0.000148696
25,853.634,0.94191,0.68786,1.55028,0.13071,0.95071,0.94795,0.98275,0.73957,0.80722,0.61044,1.50373,0.1032,8.26832e-05,8.26832e-05,8.26832e-05
